"coreshop", "CoreShop"
"coreshop_messaging_contact_email","Contact Email Document"
"coreshop_messaging_customer_email","Customer Email Document"
"coreshop_messaging_customer_re_email","Customer Re-Email Document"
"coreshop_messaging_messages","Messages"
"coreshop_messaging_new_messages","New Messages"
"coreshop_messaging_states_statistics","Statistics"
"coreshop_messaging_thread","Customer Service"
"coreshop_messaging_thread_set_state","Set State"
"coreshop_messaging_thread_current_state","Current State"
"coreshop_messaging_new_message","New Message"
"coreshop_messaging_message","Message"
"coreshop_messaging_message_send","Send Message"
"coreshop_messaging_new_message_error","Error sending new Message"
"coreshop_token","Token"
"coreshop_messaging_contact_sales","Contact Sales"
"coreshop_messaging_contact_technology","Contact Technology"
"coreshop_send_message","Send Message"
"coreshop_order_new_message","New Message"
"coreshop_product_similarity","Similar Products"
"coreshop_product_filters_similarity_weight","Weight"
"coreshop_address_shipping","Shipping Address"
"coreshop_address_billing","Billing Address"
"coreshop_order_resend_email","Resend E-Mail"
"coreshop_orderstate","Orderstate"
"coreshop_orderstate_change","Update State"
"coreshop_payments","Payment(s)"
"coreshop_products","Products"
"coreshop_shipping_cost","Shipping Costs"
"coreshop_shipping_tax","Shipping Tax"
"coreshop_wholesale_price","Wholesale Price"
"coreshop_price_without_tax","Price (excl.)"
"coreshop_price_with_tax","Price (incl.)"
"coreshop_total_tax","Total Tax"
"coreshop_discount","Discount"
"coreshop_total","Total"
"coreshop_message_send","Send"
"coreshop_message_send_success","Message has been successfully sent"
"coreshop_order_payment_paid_warning","Warning {0} paid instead of {1}"
"coreshop_customer_created","Customer created at"
"coreshop_date_time_format","Y-m-d H:i:s"
"coreshop_date_format","Y-m-d"
"coreshop_note_updateOrderSummary","Order changed"
"coreshop_note_updateOrderSummary_description","Order summary has been newly calculated"
"coreshop_note_updateOrderItem","Order-Item has been changed"
"coreshop_note_updateOrderItem_description","Order-Item has been changed"
"coreshop_product_pricerules","Product Price Rules"
"coreshop_product_specificprices","Specific Price"
"coreshop_pricerules_open_in_product_rules","Product Price Rules needs to be edited in Price Rules -> Product"
"coreshop_order_state_document_not_found","Orderstates E-Mail document could not be found"
"coreshop_order_state_has_no_email","Orderstate has no email configured"
"coreshop_inherit","Inherit"
"coreshop_prices","Prices"
"coreshop_prices_are_gross","Prices are gross prices"
"coreshop_edit_address","Edit Address"
"coreshop_base_tax_enabled","Taxes enabled"
"coreshop_mulitshop_select","Shops"
"coreshop_shop_site","Site"
"coreshop_shop_template","Template"
"coreshop_shops","Shops"
"coreshop_shops_multiselect","Shops Multiselect"
"coreshop_condition_shops","Shops"
"coreshop_shop","Shop"
"coreshop_multishop","Multishop"
