"coreshop", "CoreShop"
"coreshop_states_add","Staat hinzufügen"
"coreshop_states_enter_the_name","Name des neuen Staates"
"coreshop_state","Staat"
"coreshop_state_name","Name"
"coreshop_state_isoCode","ISO"
"coreshop_state_active","Aktiv"
"coreshop_state_country", "Land"
"coreshop_state_creation_error","Fehler beim erstellen des Staates"
"coreshop_all","Alle"
"coreshop_monitoring_outOfStockProducts","Ausverkaufte Produkte"
"coreshop_monitoring_outOfStockProducts_quantity","Lagerstand"
"coreshop_monitoring_outOfStockProducts_out_of_stock_behaviour","Verhalten"
